gene,p_value,log2_FC
PRX,7.0274170018430125e-22,-2.1301600026471137
SLC6A4,4.7125246255363e-13,-2.582234924915329
MYRF,2.3539580047463823e-20,-2.0000091250992877
FCN3,4.7125246255363e-13,-2.169801223226361
GGTLC1,1.2873207838456776e-19,-2.0398456405692342
ITLN2,1.0333667685993036e-28,-3.5295391564453436
DEFA4,3.622204458547035e-05,-2.5992700837454006
BTNL9,2.3539580047463823e-20,-2.024338050581839
MS4A15,1.0333667685993036e-28,-2.4635907304361857
CA4,3.85891091822373e-25,-2.3958195555155295
RTKN2,6.787691405731755e-19,-2.6566400762450595
AGER,3.85891091822373e-25,-2.2739174590962032
DEFA1,0.02970135436909107,-3.4181890133144193
DEFA1B,0.006363940177974262,-3.86217070472731
