gene,p_value,log2_FC
PROM1,9.578624861239927e-09,2.3331691263320873
CYP24A1,8.06200916787842e-17,2.3228236892774734
CP,1.697265087974404e-17,2.035298062083089
CDH3,1.0746103123887851e-33,2.436970643129565
COL17A1,5.101505701327548e-37,2.316895279693518
ATP12A,2.396991278242129e-11,2.081440100258146
FAT2,7.096402948909199e-15,2.1605051411172105
SLC4A11,1.697265087974404e-17,2.1370271424815455
DERL3,2.6863956776865195e-24,2.5821244697066037
VSIG1,9.460465576891806e-10,2.000522279338062
CD79A,1.2873207838456776e-19,2.722124116203775
COMP,1.1667044161605039e-29,2.7221517361260332
COL1A1,1.1449162531092549e-22,2.2697624269680676
COL7A1,5.300701810746882e-26,2.2524971919460848
FHL2,1.2010350550227599e-32,2.01395218447329
TSPAN1,2.9299323104969187e-08,2.021399427572745
MUC5B,6.658309106228137e-12,3.410044440862835
SPP1,2.962748231169591e-14,2.2174495297868004
IL13RA2,3.85891091822373e-25,2.1837568613746448
COL10A1,8.689675099585053e-28,2.836162922718842
BPIFB1,1.1995517228637853e-13,2.8099101352848983
PDLIM4,1.1449162531092549e-22,2.043890592593465
TNS4,7.0274170018430125e-22,2.1672506839232724
FCRLA,2.3539580047463823e-20,2.0265832052203585
JCHAIN,1.1995517228637853e-13,2.0317052608430526
POSTN,3.85891091822373e-25,2.17724807707419
ERN2,7.096402948909199e-15,2.6937858698593713
TMPRSS4,2.3539580047463823e-20,3.264697734980077
STRA6,5.300701810746882e-26,2.1448089096519376
GPR87,6.951740079668042e-27,3.02327583158863
FCRL5,3.85891091822373e-25,2.363693604828329
MUC4,1.6473792559967783e-15,2.6746917024384103
CXCL14,6.951740079668042e-27,2.013300027057641
FAM83A,4.1461760310873776e-21,2.1855694814127413
PLEKHS1,2.396991278242129e-11,2.5402064564252043
SYT8,3.0505174717324603e-09,2.2240514182629045
THY1,1.790930451791013e-23,2.1739566117389586
CXCL13,1.790930451791013e-23,3.8661991907217055
MS4A1,1.797334973460356e-12,2.236137031093208
SCGB3A1,8.733452079365815e-08,2.1647424018659986
CTHRC1,1.1667044161605039e-29,2.225598350020231
CLDN2,1.790930451791013e-23,2.0934852395873635
GREM1,8.689675099585053e-28,2.6818819834832652
UGT1A6,2.962748231169591e-14,2.4862489270614208
COL3A1,7.0274170018430125e-22,2.195391596518544
SPRR1A,3.85891091822373e-25,2.8177679077206426
MZB1,7.0274170018430125e-22,2.821517292431934
KRT15,1.697265087974404e-17,3.0825218410456863
LGALS7B,8.06200916787842e-17,3.4674823046632164
B3GNT3,7.0274170018430125e-22,2.266959886728964
MUC16,2.8559896081182814e-10,2.277416127977275
FDCSP,1.697265087974404e-17,3.8471985278810505
ALDH1A3,6.951740079668042e-27,2.100835680976518
COL14A1,1.0333667685993036e-28,2.2335425396580457
PLA2G2A,6.787691405731755e-19,2.420471482922901
S100A2,1.790930451791013e-23,3.8375913043714727
BPIFA1,2.537644566457237e-07,3.1115413787996133
IGFL2,7.032790002544405e-36,2.875561775236033
LGALS7,3.7041663744306256e-16,2.453200695424897
SERPINB4,1.797334973460356e-12,2.1865374906535906
DIO2,1.0746103123887851e-33,2.027034462532271
IGLL5,1.1449162531092549e-22,2.945557469693299
AC136428.1,9.578624861239927e-09,2.651087756407117
MSMB,9.460465576891806e-10,3.0174994374211477
PRSS2,6.951740079668042e-27,3.0719899443187115
