G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
0,0,1,0,0,0,0,0,1,0,0,1,1,2,3,2,2,0,1,1,0,1,2,0,2,0,2,0,2,1,1,1,3,1,1,2,0,1,1,1,3,1,0,1,3,0,0,0,2,0,0,0,0,0,0,2,3,1,0,0,1,0,1,1,1,0,3,1,0,1,0,1,1,0,1,1,2,0,1,2,0,1,1,0,2,1,0,1,0,1,1,1,1,2,4,0,0,0,0,2
1,4,0,0,1,0,2,0,0,2,2,2,0,1,0,1,1,0,0,2,0,3,0,0,2,2,1,1,0,0,2,1,1,0,2,1,0,0,2,1,1,3,0,0,0,1,3,1,0,0,1,2,1,2,2,3,1,0,0,1,0,3,0,0,0,1,2,0,3,0,0,0,0,0,0,1,0,3,1,5,0,1,3,1,3,1,2,2,3,0,1,0,1,0,3,2,0,0,0,1
1,2,0,2,1,1,0,0,1,1,2,0,1,2,1,0,3,0,0,0,2,1,0,1,0,1,1,0,1,0,0,0,1,1,2,0,0,2,1,1,0,1,2,2,1,0,1,1,1,0,0,0,0,2,1,0,1,0,2,2,2,2,2,0,1,3,0,0,1,1,1,2,0,1,0,1,0,1,4,1,0,1,0,2,2,2,0,1,2,2,1,2,2,1,0,2,3,1,1,0
0,1,1,0,1,1,2,3,0,1,1,2,1,0,0,0,0,5,2,0,0,0,0,0,1,2,1,0,0,1,2,0,2,0,0,1,1,1,1,2,1,0,1,0,2,0,0,0,2,2,0,1,2,0,1,0,0,0,3,0,2,0,2,4,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,2,2,3,0,0,0,1,0,2,3,0,2,0,1,1,0,1,2,0,0
0,2,2,1,1,0,1,4,0,1,2,1,2,3,1,2,1,0,1,1,0,0,3,1,0,1,0,1,1,1,0,1,0,1,2,3,1,1,1,3,0,1,0,1,0,1,1,0,0,2,3,1,3,0,1,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,1,1,0,1,2,0,0,1,3,0,1,1,2,0,0,1,0,3,1,0,1,3,2,0,2,0,2,1,1,2
2,0,0,0,1,2,0,1,2,0,3,0,1,2,1,3,1,0,0,0,2,0,1,0,2,3,0,1,0,3,2,0,0,1,1,2,1,0,1,0,2,0,1,1,1,2,0,0,1,0,2,1,2,2,0,2,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,2,0,1,0,2,1,1,1,1,2,0,1,0,1,1,1,0,0,0,2,0,0,1,1,2,1,1,0
0,3,1,4,1,0,0,2,1,0,1,1,3,3,2,2,0,1,1,0,0,2,0,0,2,1,1,1,1,0,0,0,1,1,2,1,0,0,1,0,0,3,0,0,0,1,0,1,1,2,3,1,0,1,2,0,0,2,0,2,0,1,0,1,0,0,0,2,1,0,2,0,1,1,0,1,1,3,4,1,0,0,1,3,1,3,0,3,1,1,2,4,1,1,0,1,0,1,1,2
0,1,1,3,2,0,1,2,0,0,0,0,2,3,0,2,0,1,0,1,0,2,1,0,1,2,2,4,1,1,1,0,0,0,1,1,0,0,2,0,0,1,2,1,2,1,1,1,0,1,1,0,2,1,0,0,0,2,0,1,2,0,1,2,0,1,0,1,0,2,2,0,2,1,2,0,1,2,0,0,0,0,1,1,0,2,0,1,2,0,0,0,1,2,2,1,1,0,3,0
1,0,1,3,1,1,0,0,1,1,1,1,0,1,1,0,1,3,2,0,0,2,0,1,2,0,0,0,0,2,1,2,2,1,1,2,0,1,1,0,1,1,1,6,2,0,0,0,1,2,0,1,1,2,0,0,0,0,1,3,2,0,3,1,0,1,1,1,0,0,0,0,1,0,0,2,0,1,3,1,2,0,4,1,1,0,1,2,2,1,1,2,0,0,2,1,1,1,1,1
1,0,3,0,2,3,1,0,1,3,1,3,1,2,1,1,0,1,3,0,1,1,0,2,2,1,0,2,1,0,0,1,1,0,1,1,1,2,0,1,2,1,0,0,1,1,1,0,4,1,2,1,2,0,1,2,1,1,2,0,1,2,1,3,0,1,1,0,0,1,1,0,0,2,1,1,1,0,1,1,2,2,0,0,0,1,1,3,0,0,1,2,4,0,1,1,0,1,0,2
